Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
91986748,2023.05.16 16:40:18,buy,0.71,eurusd.i,1.08793,1.08745,1.08989,2023.05.16 16:47:22,1.08847,-2.13,0,0,38.34
91988925,2023.05.16 16:40:18,buy,0.71,eurusd.i,1.08793,1.08793,1.08989,2023.05.16 16:54:27,1.0879,-2.13,0,0,-2.13
91993108,2023.05.16 17:05:20,buy,1.43,eurusd.i,1.08719,1.08668,1.08868,2023.05.16 17:07:02,1.08666,-4.29,0,0,-75.79
91995455,2023.05.16 17:12:41,buy,1.42,eurusd.i,1.08655,1.08604,1.08804,2023.05.16 17:14:03,1.08616,-4.26,0,0,-55.38
91996256,2023.05.16 17:15:23,sell,0.47,eurusd.i,1.08599,1.08629,1.0845,2023.05.16 17:16:04,1.0863,-1.41,0,0,-14.57
91996969,2023.05.16 17:18:39,buy,1.41,eurusd.i,1.08666,1.08615,1.08815,2023.05.16 18:06:59,1.08613,-4.23,0,0,-74.73
92061156,2023.05.17 09:38:03,buy,1.4,eurusd.i,1.08628,1.08577,1.08777,2023.05.17 09:53:01,1.08574,-4.2,0,0,-75.6
92070610,2023.05.17 11:08:28,sell,0.47,eurusd.i,1.08377,1.08527,1.08227,2023.05.17 11:08:34,1.08383,-1.41,0,0,-2.82
92070753,2023.05.17 11:09:56,sell,1.39,eurusd.i,1.08375,1.08426,1.08226,2023.05.17 11:13:40,1.08402,-4.17,0,0,-37.53
92071631,2023.05.17 11:16:30,sell,1.39,eurusd.i,1.08373,1.08424,1.08224,2023.05.17 11:26:36,1.08427,-4.17,0,0,-75.06
92073612,2023.05.17 11:39:02,sell,0.23,eurusd.i,1.08451,1.08451,1.0829,2023.05.17 11:56:12,1.08317,-0.69,0,0,30.82
92075165,2023.05.17 11:39:02,sell,0.23,eurusd.i,1.08451,1.08451,1.0829,2023.05.17 11:56:18,1.08325,-0.69,0,0,28.98
92082305,2023.05.17 13:21:42,sell,1.74,eurusd.i,1.08316,1.08327,1.08231,2023.05.17 13:24:45,1.08317,-5.22,0,0,-1.74
92083966,2023.05.17 13:44:40,buy,1.39,eurusd.i,1.08273,1.08222,1.08422,2023.05.17 14:46:41,1.08397,-4.17,0,0,172.36
92093938,2023.05.17 15:30:05,sell,1.4,eurusd.i,1.08278,1.08328,1.07913,2023.05.17 15:40:54,1.08222,-4.2,0,0,78.4
92096081,2023.05.17 15:42:20,sell,1.41,eurusd.i,1.08195,1.08246,1.08046,2023.05.17 15:50:38,1.08247,-4.23,0,0,-73.32
